"watch_id","date_time_iso","date_","time_","year_date","month_date","day_date","hour_time","day_of_week","title","video_URL","channel_name","channel_url","video_status","is_available","video_length_str","video_length_secs"
1,"2022-10-31 19:06:22.131","2022-10-31","19:06:22.131000",2022,10,31,19,0,Meteor Cancel in Smash Ultimate [SMASH REVIEW 193],https://www.youtube.com/watch?v=XwYqLRiBbTQ,Beefy Smash Doods,https://www.youtube.com/channel/UCeCEq4Sz1nNK4wn3Z4Ozk2w,Available,1,"00:18:54","1134"
2,"2022-10-31 18:43:52.465","2022-10-31","18:43:52.465000",2022,10,31,18,0,Who Cares About the Metaverse?,https://www.youtube.com/watch?v=CqkhjL3WvWQ,Marques Brownlee,https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Available,1,"00:15:51","951"
3,"2022-10-31 18:31:52.705","2022-10-31","18:31:52.705000",2022,10,31,18,0,DOUBLE KICK INTO MY NAMI!,https://www.youtube.com/watch?v=btMw_5GCxoA,Thebausffs,https://www.youtube.com/channel/UCu7ODDeIZ4x1rJwM1LCVL8w,Available,1,"00:11:06","666"
4,"2022-10-31 18:12:15.988","2022-10-31","18:12:15.988000",2022,10,31,18,0,"Fred again..: New Album, Boiler Room, and Creative Process | Apple Music",https://www.youtube.com/watch?v=zeD0g5xXo7E,Apple Music,https://www.youtube.com/channel/UCBv7HEHuVlNAELGi5XJd85Q,Available,1,"00:58:40","3520"
5,"2022-10-31 17:01:14.135","2022-10-31","17:01:14.135000",2022,10,31,17,0,Best Episode So Far (Guess The Elo 11),https://www.youtube.com/watch?v=e5e1z3A3cfo,GothamChess,https://www.youtube.com/channel/UCQHX6ViZmPsWiYSFAyS0a3Q,Available,1,"00:30:19","1819"
6,"2022-10-31 15:52:55.887","2022-10-31","15:52:55.887000",2022,10,31,15,0,I Got Hacked,https://www.youtube.com/watch?v=kyW1Mo_uCDg,GothamChess,https://www.youtube.com/channel/UCQHX6ViZmPsWiYSFAyS0a3Q,Available,1,"00:33:58","2038"
7,"2022-10-31 13:44:54.292","2022-10-31","13:44:54.292000",2022,10,31,13,0,What A Tool,https://www.youtube.com/watch?v=fRyr_R1kVGQ,Down Bad Patrol,https://www.youtube.com/channel/UCb5_iMem4EmklDHzO2NXiOA,Available,1,"00:01:03","63"
8,"2022-10-31 13:09:32.894","2022-10-31","13:09:32.894000",2022,10,31,13,0,Being a Gecko at Harvard,https://www.youtube.com/watch?v=p8u9vohPLk0,Lyle Forever,https://www.youtube.com/channel/UCMbvTF91O--bhwmg9dTMAPA,Available,1,"00:47:49","2869"
9,"2022-10-31 13:08:12.921","2022-10-31","13:08:12.921000",2022,10,31,13,0,"IG Live: Fred Again Delilah ""(pull me out of this)'"" NYC Food Truck",https://www.youtube.com/watch?v=qfjjApJ2KMw,mvulch,https://www.youtube.com/channel/UC7xqnD3fw8wpsAlWQcw2e-Q,Available,1,"00:01:04","64"
10,"2022-10-31 12:58:01.941","2022-10-31","12:58:01.941000",2022,10,31,12,0,Working at Google - Tech Stack I Use as a Software Engineer,https://www.youtube.com/watch?v=5ueSge4n4bs,NeetCode,https://www.youtube.com/channel/UC_mYaQAE6-71rjSN6CeCA-g,Available,1,"00:07:15","435"
